# Study Mode Playlist - Popular Lofi & Study Music
# Format: Title | Artist | YouTube URL
# You can edit this file to add your favorite tracks!

lofi hip hop radio 📚 - beats to relax/study to | Lofi Girl | https://www.youtube.com/watch?v=jfKfPfyJRdk

Deep Focus - Music For Studying, Concentration and Work | Greenred Productions | https://www.youtube.com/watch?v=32dGIHCzbfE

3 A.M Study Session 📚 - [lofi hip hop/chill beats] | Chillhop Music | https://www.youtube.com/watch?v=lTRiuFIWV54

Study With Me • 24/7 • For School, Work, or Personal Studies | Abao in Tokyo | https://www.youtube.com/watch?v=DHb_SsVhsYY

lofi hip hop radio - beats to sleep/chill to | ChilledCow | https://www.youtube.com/watch?v=5qap5aO4i9A

Peaceful Piano Music for Studying and Concentration | Meditation Relax Music | https://www.youtube.com/watch?v=IEWr2DVhWI0

Jazz Café Music - Relaxing Jazz & Bossa Nova for Study & Work | Cafe Music BGM channel | https://www.youtube.com/watch?v=Dx5qFachd3A

Forest Rain & Relaxing Music for Deep Focus | The Honest Guys | https://www.youtube.com/watch?v=q76bMs-NwRk

Synthwave / Outrun Mix - Miami Nights 2089 | NewRetroWave | https://www.youtube.com/watch?v=qk1nnAHI1mI

Cozy Coffee Shop Ambience ☕ Jazz Music & Rain Sounds | Calmed By Nature | https://www.youtube.com/watch?v=RfM-br_2Oy8

# To add more tracks, follow this format:
# Song Name | Artist Name | YouTube Link
